YEARS OF EXPERIENCE
1 ano
1 ano 1 mês
1 ano 10 meses
1 ano 2 meses
1 ano 3 meses
1 ano 4 meses
1 ano 5 meses
1 ano 6 meses
1 ano 8 meses
1 jaar
1 jaar 9 maanden
1 maand
1 month
1 mos
1 year
1 year 1
1 year 1 month
1 year 10 months
1 year 11
1 year 11 months
1 year 2 months
1 year 3 months
1 year 4 months
1 year 5 months
1 year 6 months
1 year 6months
1 year 7 months
1 year 8
1 year 8 months
1 year 9 months
10 meses
10 months
10 years
10 years 1 month
10 years 10 months
10 years 11 months
10 years 2 months
10 years 3 months
10 years 4 months
10 years 5 months
10 years 7 months
11 meses
11 months
11 years
11 years 1 month
11 years 3 months
11 years 5 months
11 years 7 months
11 years 9 months
12 years
12 years 2 months
12 years 4 months
12 years 5 months
12 years 6 months
12 years 7 months
12 years 8 months
12 years 9 months
13 years
13 years 1 month
13 years 10 months
13 years 7 months
14 years
14 years 2 months
14 years 7 months
14 years 8 months
14 years 9 months
15 years
16 years 1 month
16 years 5 months
17 years 2 months
17 years 4 months
19 years
19 years 8 months
1years 8 months
2 anos
2 anos 1 mês
2 anos 10 meses
2 anos 4 meses
2 anos 5 meses
2 anos 6 meses
2 anos 8 meses
2 jaar
2 meses
2 months
2 months
2 months
2 year 3 months
2 years
2 years 1
2 years 1 mo
2 years 1 month
2 years 10 months
2 years 11 months
2 years 2
2 years 2 months
2 years 2 months)
2 years 3 months
2 years 4 months
2 years 5 months
2 years 6 months
2 years 7 months
2 years 8 months
2 years 9 months
27 years 11 months
3 anos
3 anos 1 mês
3 anos 10 meses
3 anos 3 meses
3 anos 5 meses
3 anos 6 meses
3 meses
3 months
3 months)
3 year 7 month
3 years
3 years 1 month
3 years 10 months
3 years 11 months
3 years 2 months
3 years 3 months
3 years 4 months
3 years 5 months
3 years 6 months
3 years 7 months
3 years 8 months
3 years 9 months
30 years 9 months
4 maanden
4 meses
4 months
4 years
4 years 1 month
4 years 10 months
4 years 11 months
4 years 2 months
4 years 3
4 years 3 months
4 years 4 months
4 years 5 months
4 years 6 months
4 years 7 months
4 years 8
4 years 8 months
4 years 9 months
5 anos
5 anos 10 meses
5 anos 2 meses
5 jaar 1 maand
5 meses
5 mois
5 months
5 years
5 years 1 month
5 years 10 months
5 years 11 months
5 years 2 months
5 years 3
5 years 3 months
5 years 4 months
5 years 5 months
5 years 6 months
5 years 7 months
5 years 8 months
5 years 9 months
6 anos 3 meses
6 jaar
6 maanden
6 meses
6 months
6 years
6 years 1 month
6 years 10 months
6 years 11 months
6 years 2 months
6 years 3 months
6 years 4 months
6 years 5 months
6 years 6 months
6 years 7 months
6 years 8 months
6 years 9 months
7 maanden
7 meses
7 months
7 years
7 years 1 month
7 years 10 months
7 years 11 months
7 years 2 months
7 years 3 months
7 years 4 months
7 years 5 months
7 years 6 months
7 years 7 months
7 years 8 months
7 years 9 months
8 maanden
8 meses
8 months
8 years
8 years 1 month
8 years 2 months
8 years 3 months
8 years 4 months
8 years 5 months
8 years 6 months
8 years 7 months
8 years 8 months
9 ay
9 mois
9 months
9 years
9 years 1 month
9 years 10 months
9 years 11 months
9 years 2 months
9 years 5 months
9 years 6 months
9 years 7 months
9 years 8 months
9 years 9 months
15-Dec
less than a year
menos de um ano
months
September 2021 - December 2021  (4 months)
year 1 month
year 3 months
year 7 months
years
years 10 months
years 11
years 4 months
years 5 months
years 6 months
years 8 months
years 9 months
